Material	Purity	Price	Description
Barium	99.999%	$ 169.00	5N (99.999%) Barium Fluoride (BaF2) Pieces (<3mm) Evaporation Materials
Zinc	99.99%	$ 74.90	4N (99.99%) Zinc (Zn) Pellets Evaporation Materials
Chromium	99.95%	$ 147.00	3N5 (99.95%) Chromium (Cr) Pieces Evaporation Materials
Silicon	99.99%	$ 97.50	4N (99.99%) Silicon Dioxide (SiO2) Pieces Evaporation Materials
Copper	99.999%	$ 69.00	5N (99.999%) Copper (Cu) Pellets Evaporation Materials
Calcium	99.99%	$ 132.00	4N (99.99%) Calcium Fluoride (CaF2) Pieces Evaporation Materials
Hafnium	99.9%	$ 245.00	3N (99.9%) Hafnium Oxide (HfO2) Pieces Evaporation Materials
Tungsten	99.95%	$ 83.00	3N5 (99.95%) Tungsten (W) Pellets Evaporation Materials
Tin	99.99%	$ 99.50	4N (99.99%) Tin (Sn) Pellets Evaporation Materials
Strontium	99.99%	$ 372.00	4N (99.99%) Strontium Fluoride (SrF2) Pieces (1-10mm) Evaporation Materials, 100g
Tantalum	99.95%	$ 169.00	3N5 (99.95%) Tantalum (Ta) Pellets Evaporation Materials
Neodymium	99.9%	$ 297.00	3N (99.9%) Neodymium (Nd) Pieces (1-6mm) Evaporation Materials,100g
Molybdenum	99.95%	$ 199.00	3N5 (99.95%) Molybdenum (Mo) Pellets Evaporation Materials
Magnesium	99.95%	$ 139.00	3N5 (99.95%) Magnesium Fluoride (MgF2) Pieces (1-3 mm) Evaporation Materials
Magnesium	99.95%	$ 159.00	3N5 (99.95%) Magnesium (Mg) Pellets Evaporation Materials
Iron	99.95%	$ 239.00	3N5 (99.95%) Iron (Fe) Pellets Evaporation Materials
Indium	99.99%	$ 199.00	4N (99.99%) Indium Tin Oxide (In2O3/SnO290/10 wt%) Pieces Evaporation Materials
PRO	99.999%	$ 279.00	5N (99.999%) Germanium (Ge) Pieces Evaporation Materials
Aluminum	99.999%	$ 45.00	5N (99.999%) Aluminum (Al) Pellets Evaporation Materials
Zirconium	Zr	$ 106.90	Grade 702 Zirconium (Zr) Pellets Evaporation Materials
Barium	99.999%	$ 169.00	5N (99.999%) Barium Fluoride (BaF2) Pieces (<3mm) Evaporation Materials
Zinc	99.99%	$ 74.90	4N (99.99%) Zinc (Zn) Pellets Evaporation Materials
Chromium	99.95%	$ 147.00	3N5 (99.95%) Chromium (Cr) Pieces Evaporation Materials
Silicon	99.99%	$ 97.50	4N (99.99%) Silicon Dioxide (SiO2) Pieces Evaporation Materials
Copper	99.999%	$ 69.00	5N (99.999%) Copper (Cu) Pellets Evaporation Materials
Calcium	99.99%	$ 132.00	4N (99.99%) Calcium Fluoride (CaF2) Pieces Evaporation Materials
Hafnium	99.9%	$ 245.00	3N (99.9%) Hafnium Oxide (HfO2) Pieces Evaporation Materials
Tungsten	99.95%	$ 83.00	3N5 (99.95%) Tungsten (W) Pellets Evaporation Materials
Tin	99.99%	$ 99.50	4N (99.99%) Tin (Sn) Pellets Evaporation Materials
Strontium	99.99%	$ 372.00	4N (99.99%) Strontium Fluoride (SrF2) Pieces (1-10mm) Evaporation Materials, 100g
Tantalum	99.95%	$ 169.00	3N5 (99.95%) Tantalum (Ta) Pellets Evaporation Materials
Neodymium	99.9%	$ 297.00	3N (99.9%) Neodymium (Nd) Pieces (1-6mm) Evaporation Materials,100g
Molybdenum	99.95%	$ 199.00	3N5 (99.95%) Molybdenum (Mo) Pellets Evaporation Materials
Magnesium	99.95%	$ 139.00	3N5 (99.95%) Magnesium Fluoride (MgF2) Pieces (1-3 mm) Evaporation Materials
Magnesium	99.95%	$ 159.00	3N5 (99.95%) Magnesium (Mg) Pellets Evaporation Materials
Iron	99.95%	$ 239.00	3N5 (99.95%) Iron (Fe) Pellets Evaporation Materials
Indium	99.99%	$ 199.00	4N (99.99%) Indium Tin Oxide (In2O3/SnO290/10 wt%) Pieces Evaporation Materials
PRO	99.999%	$ 279.00	5N (99.999%) Germanium (Ge) Pieces Evaporation Materials
Aluminum	99.999%	$ 45.00	5N (99.999%) Aluminum (Al) Pellets Evaporation Materials
Zirconium	Zr	$ 106.90	Grade 702 Zirconium (Zr) Pellets Evaporation Materials
Barium	99.999%	$ 169.00	5N (99.999%) Barium Fluoride (BaF2) Pieces (<3mm) Evaporation Materials
Zinc	99.99%	$ 74.90	4N (99.99%) Zinc (Zn) Pellets Evaporation Materials
Chromium	99.95%	$ 147.00	3N5 (99.95%) Chromium (Cr) Pieces Evaporation Materials
Silicon	99.99%	$ 97.50	4N (99.99%) Silicon Dioxide (SiO2) Pieces Evaporation Materials
Copper	99.999%	$ 69.00	5N (99.999%) Copper (Cu) Pellets Evaporation Materials
Calcium	99.99%	$ 132.00	4N (99.99%) Calcium Fluoride (CaF2) Pieces Evaporation Materials
Hafnium	99.9%	$ 245.00	3N (99.9%) Hafnium Oxide (HfO2) Pieces Evaporation Materials
Tungsten	99.95%	$ 83.00	3N5 (99.95%) Tungsten (W) Pellets Evaporation Materials
Tin	99.99%	$ 99.50	4N (99.99%) Tin (Sn) Pellets Evaporation Materials
Strontium	99.99%	$ 372.00	4N (99.99%) Strontium Fluoride (SrF2) Pieces (1-10mm) Evaporation Materials, 100g
Tantalum	99.95%	$ 169.00	3N5 (99.95%) Tantalum (Ta) Pellets Evaporation Materials
Neodymium	99.9%	$ 297.00	3N (99.9%) Neodymium (Nd) Pieces (1-6mm) Evaporation Materials,100g
Molybdenum	99.95%	$ 199.00	3N5 (99.95%) Molybdenum (Mo) Pellets Evaporation Materials
Magnesium	99.95%	$ 139.00	3N5 (99.95%) Magnesium Fluoride (MgF2) Pieces (1-3 mm) Evaporation Materials
Magnesium	99.95%	$ 159.00	3N5 (99.95%) Magnesium (Mg) Pellets Evaporation Materials
Iron	99.95%	$ 239.00	3N5 (99.95%) Iron (Fe) Pellets Evaporation Materials
Indium	99.99%	$ 199.00	4N (99.99%) Indium Tin Oxide (In2O3/SnO290/10 wt%) Pieces Evaporation Materials
PRO	99.999%	$ 279.00	5N (99.999%) Germanium (Ge) Pieces Evaporation Materials
Aluminum	99.999%	$ 45.00	5N (99.999%) Aluminum (Al) Pellets Evaporation Materials
Zirconium	Zr	$ 106.90	Grade 702 Zirconium (Zr) Pellets Evaporation Materials
Barium	99.999%	$ 169.00	5N (99.999%) Barium Fluoride (BaF2) Pieces (<3mm) Evaporation Materials
Zinc	99.99%	$ 74.90	4N (99.99%) Zinc (Zn) Pellets Evaporation Materials
Chromium	99.95%	$ 147.00	3N5 (99.95%) Chromium (Cr) Pieces Evaporation Materials
Silicon	99.99%	$ 97.50	4N (99.99%) Silicon Dioxide (SiO2) Pieces Evaporation Materials
Copper	99.999%	$ 69.00	5N (99.999%) Copper (Cu) Pellets Evaporation Materials
Calcium	99.99%	$ 132.00	4N (99.99%) Calcium Fluoride (CaF2) Pieces Evaporation Materials
Hafnium	99.9%	$ 245.00	3N (99.9%) Hafnium Oxide (HfO2) Pieces Evaporation Materials
Tungsten	99.95%	$ 83.00	3N5 (99.95%) Tungsten (W) Pellets Evaporation Materials
Tin	99.99%	$ 99.50	4N (99.99%) Tin (Sn) Pellets Evaporation Materials
Strontium	99.99%	$ 372.00	4N (99.99%) Strontium Fluoride (SrF2) Pieces (1-10mm) Evaporation Materials, 100g
Tantalum	99.95%	$ 169.00	3N5 (99.95%) Tantalum (Ta) Pellets Evaporation Materials
Neodymium	99.9%	$ 297.00	3N (99.9%) Neodymium (Nd) Pieces (1-6mm) Evaporation Materials,100g
Molybdenum	99.95%	$ 199.00	3N5 (99.95%) Molybdenum (Mo) Pellets Evaporation Materials
Magnesium	99.95%	$ 139.00	3N5 (99.95%) Magnesium Fluoride (MgF2) Pieces (1-3 mm) Evaporation Materials
Magnesium	99.95%	$ 159.00	3N5 (99.95%) Magnesium (Mg) Pellets Evaporation Materials
Iron	99.95%	$ 239.00	3N5 (99.95%) Iron (Fe) Pellets Evaporation Materials
Indium	99.99%	$ 199.00	4N (99.99%) Indium Tin Oxide (In2O3/SnO290/10 wt%) Pieces Evaporation Materials
PRO	99.999%	$ 279.00	5N (99.999%) Germanium (Ge) Pieces Evaporation Materials
Aluminum	99.999%	$ 45.00	5N (99.999%) Aluminum (Al) Pellets Evaporation Materials
Zirconium	Zr	$ 106.90	Grade 702 Zirconium (Zr) Pellets Evaporation Materials
Barium	99.999%	$ 169.00	5N (99.999%) Barium Fluoride (BaF2) Pieces (<3mm) Evaporation Materials
Zinc	99.99%	$ 74.90	4N (99.99%) Zinc (Zn) Pellets Evaporation Materials
Chromium	99.95%	$ 147.00	3N5 (99.95%) Chromium (Cr) Pieces Evaporation Materials
Silicon	99.99%	$ 97.50	4N (99.99%) Silicon Dioxide (SiO2) Pieces Evaporation Materials
Copper	99.999%	$ 69.00	5N (99.999%) Copper (Cu) Pellets Evaporation Materials
Calcium	99.99%	$ 132.00	4N (99.99%) Calcium Fluoride (CaF2) Pieces Evaporation Materials
Hafnium	99.9%	$ 245.00	3N (99.9%) Hafnium Oxide (HfO2) Pieces Evaporation Materials
Tungsten	99.95%	$ 83.00	3N5 (99.95%) Tungsten (W) Pellets Evaporation Materials
Tin	99.99%	$ 99.50	4N (99.99%) Tin (Sn) Pellets Evaporation Materials
Strontium	99.99%	$ 372.00	4N (99.99%) Strontium Fluoride (SrF2) Pieces (1-10mm) Evaporation Materials, 100g
Tantalum	99.95%	$ 169.00	3N5 (99.95%) Tantalum (Ta) Pellets Evaporation Materials
Neodymium	99.9%	$ 297.00	3N (99.9%) Neodymium (Nd) Pieces (1-6mm) Evaporation Materials,100g
Molybdenum	99.95%	$ 199.00	3N5 (99.95%) Molybdenum (Mo) Pellets Evaporation Materials
Magnesium	99.95%	$ 139.00	3N5 (99.95%) Magnesium Fluoride (MgF2) Pieces (1-3 mm) Evaporation Materials
Magnesium	99.95%	$ 159.00	3N5 (99.95%) Magnesium (Mg) Pellets Evaporation Materials
Iron	99.95%	$ 239.00	3N5 (99.95%) Iron (Fe) Pellets Evaporation Materials
Indium	99.99%	$ 199.00	4N (99.99%) Indium Tin Oxide (In2O3/SnO290/10 wt%) Pieces Evaporation Materials
PRO	99.999%	$ 279.00	5N (99.999%) Germanium (Ge) Pieces Evaporation Materials
